Marka,İşlemci Tipi,Ram (GB),SSD kapasitesi (GB),Ekran Boyutu (inç),Cihaz Ağırlığı,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Ekran Yenileme Hızı (Hz),İşlemci Sınıfı,Marka Sınıfı,Cihaz Ağırlığı Sınıfı,Fiyat
HP,Intel Core i7,16,512.0,16.1,2 - 4 kg,14,13,0,144,10,7,0,28999.0
Technopc,AMD,1,128.0,14.0,2 - 4 kg,1,1,0,60,0,16,0,4590.0
Dell,Intel Core i7,16,1024.0,15.6,2 - 4 kg,14,13,0,165,10,6,0,38999.0
ASUS,AMD Ryzen 7,32,1024.0,15.6,2 - 4 kg,8,7,0,144,5,1,0,35219.0
ASUS,AMD Ryzen 7,16,1024.0,15.6,2 - 4 kg,8,7,0,144,5,1,0,33349.0
ASUS,AMD Ryzen 7,16,1024.0,17.3,2 - 4 kg,8,6,0,360,5,1,0,49479.63
Casper,Intel Core i9,64,2048.0,16.0,2 - 4 kg,24,13,0,165,11,4,0,47999.0
Monster,Intel Core i5,16,500.0,15.6,2 - 4 kg,12,12,0,144,9,14,0,19999.0
HP,Intel Core i5,8,512.0,15.6,2 - 4 kg,8,11,1,144,9,7,0,18150.0
HP,AMD Ryzen 5,8,512.0,16.1,2 - 4 kg,6,5,0,60,4,7,0,16999.0
ASUS,Intel Core i5,16,512.0,15.6,2 - 4 kg,6,11,0,144,9,1,0,24199.0
ACER,AMD Ryzen 5,8,256.0,15.6,2 kg ve Altı,4,7,0,60,4,0,1,8445.0
ACER,AMD Ryzen 5,8,512.0,15.6,2 - 4 kg,6,5,0,144,4,0,0,24749.01
Samsung,Intel Core i7,16,1024.0,16.0,2 kg ve Altı,12,13,1,120,10,15,1,61940.0
ASUS,Intel Celeron,16,256.0,15.6,2 kg ve Altı,2,5,0,60,7,1,1,8335.8
MSI,Intel Core i5,8,512.0,15.6,2 - 4 kg,4,11,0,60,9,12,0,10499.0
Dell,Intel Core i9,64,2048.0,15.6,2 - 4 kg,14,12,0,240,11,6,0,56378.25
Dell,Intel Core i7,16,512.0,15.6,2 - 4 kg,14,13,0,165,10,6,0,34999.0
Huawei,Intel Core i7,16,1024.0,13.9,2 kg ve Altı,4,10,1,60,10,8,1,39999.0
ASUS,AMD Ryzen 7,8,1024.0,14.0,2 kg ve Altı,8,4,0,60,5,1,1,18999.9
Monster,Intel Core i5,16,500.0,17.3,2 - 4 kg,6,11,0,144,9,14,0,18999.0
LENOVO,Intel Core i5,16,256.0,15.6,2 - 4 kg,4,11,0,120,9,10,0,17596.8
Casper,Intel Core i5,32,2048.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,26999.0
Casper,Intel Core i7,16,1024.0,16.0,2 - 4 kg,16,13,0,165,10,4,0,34999.0
ASUS,Intel Core i7,16,512.0,16.0,2 - 4 kg,14,12,0,165,10,1,0,34999.0
HP,Intel Core i7,16,1024.0,16.1,2 - 4 kg,14,12,0,144,10,7,0,31699.0
Casper,Intel Core i5,4,250.0,15.6,2 kg ve Altı,4,10,0,60,9,4,1,10499.0
ASUS,Intel Core i9,16,1024.0,18.0,2 - 4 kg,24,13,0,240,11,1,0,69499.0
Monster,Intel Core i5,8,500.0,15.6,2 - 4 kg,12,12,0,144,9,14,0,19999.0
Casper,Intel Core i5,32,500.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,24699.0
Huawei,Intel Core i5,16,512.0,16.0,2 kg ve Altı,4,12,0,300,9,8,1,18480.0
ASUS,Intel Core i7,16,1024.0,15.6,2 kg ve Altı,10,12,0,144,10,1,1,31499.0
ASUS,AMD Ryzen 7,16,512.0,15.6,2 - 4 kg,8,6,0,300,5,1,0,33499.0
ASUS,AMD Ryzen 3,12,256.0,15.6,2 - 4 kg,2,3,0,60,3,1,0,8909.99
ACER,Intel Core i5,8,256.0,15.6,2 kg ve Altı,4,11,0,144,9,0,1,10000.0
Casper,Intel Core i5,32,1024.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,11999.0
LENOVO ,Intel Pentium,8,256.0,15.6,2 - 4 kg,4,10,1,60,12,11,0,6499.99
Monster,Intel Core i7,32,1024.0,15.6,2 - 4 kg,8,11,0,144,10,14,0,24599.0
